,,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
Dataset 3,Gamay,0.7777777777777778,0.9992526158445441,0.8235294117647058,0.9990037359900373,0.0007473841554559044,0.2222222222222222,0.17647058823529413,0.9982638888888888
Dataset 3,Gouveio,0.5882352941176471,0.9937468734367184,0.4444444444444444,0.9964885879107098,0.00625312656328164,0.4117647058823529,0.5555555555555556,0.9903273809523809
Dataset 3,Malvasia Corada,0.3684210526315789,0.9975080986792924,0.4117647058823529,0.9970112079701121,0.0024919013207077,0.631578947368421,0.5882352941176471,0.9945436507936508
Dataset 3,Malvasia Fina,0.6559139784946236,0.9906067529829906,0.6224489795918368,0.9918657854600915,0.009393247017009393,0.34408602150537637,0.37755102040816324,0.9828869047619048
Dataset 3,Malvasia Preta,0.7857142857142857,0.9972527472527473,0.6666666666666666,0.9984996249062266,0.0027472527472527475,0.21428571428571427,0.3333333333333333,0.9957837301587301
Dataset 3,Malvasia Rei,0.5,0.9947578632051922,0.38235294117647056,0.9967483741870935,0.005242136794807789,0.5,0.6176470588235294,0.9915674603174603
Dataset 3,Merlot,0.631578947368421,0.9987540493396462,0.7058823529411765,0.9982565379825654,0.00124595066035385,0.3684210526315789,0.29411764705882354,0.9970238095238095
Dataset 3,Moscatel Galego,0.8071428571428572,0.9814560439560439,0.9436325678496869,0.929733246584255,0.018543956043956044,0.19285714285714287,0.05636743215031315,0.9330357142857143
Dataset 3,Moscatel Galego Roxo,0.631578947368421,0.9915275355095938,0.2608695652173913,0.9982438534872052,0.00847246449040618,0.3684210526315789,0.7391304347826086,0.9898313492063492
Dataset 3,Mourisco Tinto,0.8620689655172413,0.9980014988758431,0.7575757575757576,0.9989997499374844,0.0019985011241568824,0.13793103448275862,0.24242424242424243,0.9970238095238095
Dataset 3,Pinot Blanc,0.631578947368421,0.9972589085472215,0.5217391304347826,0.9982539286605139,0.00274109145277847,0.3684210526315789,0.4782608695652174,0.9955357142857143
Dataset 3,Rabigato,0.8333333333333334,0.9903011740684022,0.7142857142857143,0.9951269556296486,0.009698825931597753,0.16666666666666666,0.2857142857142857,0.9858630952380952
Dataset 3,Rufete,0.7894736842105263,0.9987540493396462,0.75,0.9990029910269193,0.00124595066035385,0.21052631578947367,0.25,0.9977678571428571
Dataset 3,Samarrinho,0.5526315789473685,0.9898887765419616,0.5121951219512195,0.9913924050632912,0.010111223458038422,0.4473684210526316,0.4878048780487805,0.9816468253968254
Dataset 3,Sauvignon Blanc,0.5555555555555556,0.9985052316890882,0.625,0.99800796812749,0.0014947683109118087,0.4444444444444444,0.375,0.9965277777777778
Dataset 3,Sousao,0.9361702127659575,0.9974905897114178,0.8148148148148148,0.9992458521870287,0.002509410288582183,0.06382978723404255,0.18518518518518517,0.9967757936507936
Dataset 3,Tinta Amarela,0.8983050847457628,0.9962245154794865,0.7794117647058824,0.9984863773965691,0.003775484520513466,0.1016949152542373,0.22058823529411764,0.9947916666666666
Dataset 3,Tinta Barroca,0.9130434782608695,0.9947009841029523,0.75,0.9984802431610942,0.005299015897047691,0.08695652173913043,0.25,0.9933035714285714
Dataset 3,Tinta Femea,0.5625,0.9977589641434262,0.5,0.9982561036372696,0.0022410358565737054,0.4375,0.5,0.996031746031746
Dataset 3,Tinta Francisca,0.5789473684210527,0.997757288811363,0.55,0.9980059820538385,0.00224271118863693,0.42105263157894735,0.45,0.9957837301587301
Dataset 3,Tinta Roriz,0.9115281501340483,0.9942607269745832,0.9418282548476454,0.9910106238082267,0.00573927302541678,0.08847184986595175,0.05817174515235457,0.9866071428571429
Dataset 3,Tinto Cao,0.896551724137931,0.9987509367974019,0.8387096774193549,0.9992501874531368,0.0012490632025980515,0.10344827586206896,0.16129032258064516,0.998015873015873
Dataset 3,Touriga Francesa,0.8484848484848485,0.9959989997499374,0.6363636363636364,0.9987462387161484,0.004001000250062516,0.15151515151515152,0.36363636363636365,0.9947916666666666
Dataset 3,Touriga Nacional,0.8966165413533834,0.9965714285714286,0.9754601226993865,0.9844764324019193,0.0034285714285714284,0.10338345864661654,0.024539877300613498,0.9833829365079365
Dataset 3,Viosinho,0.8484848484848485,0.9977494373593399,0.7567567567567568,0.9987484355444305,0.002250562640660165,0.15151515151515152,0.24324324324324326,0.9965277777777778
Dataset 3+,Alicante,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Dataset 3+,Alveralhao,0.9852941176470589,0.9982032854209446,0.950354609929078,0.9994859933179131,0.0017967145790554414,0.014705882352941176,0.04964539007092199,0.9977678571428571
Dataset 3+,Arinto,0.76,0.9957307885484681,0.6909090909090909,0.9969826502388736,0.004269211451531894,0.24,0.3090909090909091,0.9928075396825397
Dataset 3+,Bastardo,0.7368421052631579,0.9990032394717169,0.7777777777777778,0.9987543597409069,0.00099676052828308,0.2631578947368421,0.2222222222222222,0.9977678571428571
Dataset 3+,Boal,0.9117647058823529,0.9969984992496248,0.7209302325581395,0.9992479318124843,0.0030015007503751876,0.08823529411764706,0.27906976744186046,0.9962797619047619
Dataset 3+,Cabernet Franc,0.6842105263157895,0.9985048592075754,0.6842105263157895,0.9985048592075754,0.00149514079242462,0.3157894736842105,0.3157894736842105,0.9970238095238095
Dataset 3+,Cabernet Sauvignon,0.7894736842105263,0.9997508098679292,0.9375,0.999003984063745,0.00024919013207077,0.21052631578947367,0.0625,0.9987599206349206
Dataset 3+,Carignon Noir,0.7894736842105263,0.9990032394717169,0.7894736842105263,0.9990032394717169,0.00099676052828308,0.21052631578947367,0.21052631578947367,0.998015873015873
Dataset 3+,Cercial,0.8333333333333334,0.9957329317269076,0.7017543859649122,0.9979874213836478,0.00426706827309237,0.16666666666666666,0.2982456140350877,0.9937996031746031
Dataset 3+,Chardonnay,0.7894736842105263,0.9992524296037877,0.8333333333333334,0.9990034877927254,0.00074757039621231,0.21052631578947367,0.16666666666666666,0.9982638888888888
Dataset 3+,Codega,0.8225806451612904,0.9850113122171946,0.8850325379609545,0.9753570428451415,0.01498868778280543,0.1774193548387097,0.11496746203904555,0.9650297619047619
Dataset 3+,Codega do Larinho,0.8701298701298701,0.9926675094816688,0.6979166666666666,0.9974593495934959,0.0073324905183312266,0.12987012987012986,0.3020833333333333,0.9903273809523809
Dataset 3+,Cornifesto,0.8888888888888888,0.9987543597409069,0.7619047619047619,0.99950137122912,0.001245640259093174,0.1111111111111111,0.23809523809523808,0.9982638888888888
Dataset 3+,Donzelinho Branco,0.7631578947368421,0.9919110212335692,0.6444444444444445,0.9954337899543378,0.008088978766430738,0.23684210526315788,0.35555555555555557,0.9875992063492064
Dataset 3+,Donzelinho Tinto,0.7894736842105263,0.9990032394717169,0.7894736842105263,0.9990032394717169,0.00099676052828308,0.21052631578947367,0.21052631578947367,0.998015873015873
Dataset 3+,Esgana Cao,0.6333333333333333,0.995752123938031,0.5277777777777778,0.9972472472472472,0.004247876061969015,0.36666666666666664,0.4722222222222222,0.9930555555555556
Dataset 3+,Fernao Pires,0.75,0.9982569721115537,0.631578947368421,0.9990032394717169,0.0017430278884462151,0.25,0.3684210526315789,0.9972718253968254
Dataset 3+,Folgasao,0.8166666666666667,0.9944612286002014,0.6901408450704225,0.9972229235041656,0.0055387713997985906,0.18333333333333332,0.30985915492957744,0.9918154761904762
Dataset 3+,Gamay,0.8333333333333334,0.9995017438963627,0.8823529411764706,0.999252801992528,0.0004982561036372695,0.16666666666666666,0.11764705882352941,0.9987599206349206
Dataset 3+,Gouveio,0.7647058823529411,0.9939969984992496,0.52,0.9979909593169262,0.006003001500750375,0.23529411764705882,0.48,0.9920634920634921
Dataset 3+,Malvasia Corada,0.47368421052631576,0.9982556690755046,0.5625,0.9975099601593626,0.00174433092449539,0.5263157894736842,0.4375,0.9957837301587301
Dataset 3+,Malvasia Fina,0.7096774193548387,0.9923838537699924,0.6875,0.993140243902439,0.007616146230007616,0.2903225806451613,0.3125,0.9858630952380952
Dataset 3+,Malvasia Preta,0.8571428571428571,0.996003996003996,0.6,0.998997995991984,0.003996003996003996,0.14285714285714285,0.4,0.9950396825396826
Dataset 3+,Malvasia Rei,0.5769230769230769,0.9967548676984523,0.5357142857142857,0.9972527472527473,0.0032451323015476783,0.4230769230769231,0.4642857142857143,0.9940476190476191
Dataset 3+,Merlot,0.7894736842105263,0.9995016197358585,0.8823529411764706,0.9990037359900373,0.00049838026414154,0.21052631578947367,0.11764705882352941,0.9985119047619048
Dataset 3+,Moscatel Galego,0.8357142857142857,0.9831730769230769,0.950253807106599,0.9396127338365605,0.016826923076923076,0.16428571428571428,0.049746192893401014,0.9422123015873016
Dataset 3+,Moscatel Galego Roxo,0.631578947368421,0.9920259157737353,0.2727272727272727,0.9982447342026078,0.00797408422626464,0.3684210526315789,0.7272727272727273,0.9903273809523809
Dataset 3+,Mourisco Tinto,0.7931034482758621,0.9982513115163627,0.7666666666666667,0.9985007496251874,0.0017486884836372721,0.20689655172413793,0.23333333333333334,0.9967757936507936
Dataset 3+,Pinot Blanc,0.7368421052631579,0.9985048592075754,0.7,0.998753738783649,0.00149514079242462,0.2631578947368421,0.3,0.9972718253968254
Dataset 3+,Rabigato,0.868421052631579,0.9910668708524758,0.7388059701492538,0.9961518727552591,0.008933129147524248,0.13157894736842105,0.26119402985074625,0.9875992063492064
Dataset 3+,Rufete,0.8421052631578947,0.9980064789434339,0.6666666666666666,0.999251497005988,0.00199352105656616,0.15789473684210525,0.3333333333333333,0.9972718253968254
Dataset 3+,Samarrinho,0.5657894736842105,0.9908998988877654,0.5443037974683544,0.9916519099418163,0.00910010111223458,0.4342105263157895,0.45569620253164556,0.9828869047619048
Dataset 3+,Sauvignon Blanc,0.7222222222222222,0.9982561036372696,0.65,0.998753738783649,0.0017438963627304435,0.2777777777777778,0.35,0.9970238095238095
Dataset 3+,Sousao,1.0,0.998745294855709,0.9038461538461539,1.0,0.0012547051442910915,0.0,0.09615384615384616,0.9987599206349206
Dataset 3+,Tinta Amarela,0.9322033898305084,0.9954694185753838,0.7534246575342466,0.998989643849457,0.004530581424616159,0.06779661016949153,0.2465753424657534,0.9945436507936508
Dataset 3+,Tinta Barroca,0.9420289855072463,0.9977289931869796,0.8783783783783784,0.998989388580091,0.002271006813020439,0.057971014492753624,0.12162162162162163,0.9967757936507936
Dataset 3+,Tinta Femea,0.75,0.999003984063745,0.75,0.999003984063745,0.00099601593625498,0.25,0.25,0.998015873015873
Dataset 3+,Tinta Francisca,0.6842105263157895,0.997757288811363,0.5909090909090909,0.9985037406483791,0.00224271118863693,0.3157894736842105,0.4090909090909091,0.9962797619047619
Dataset 3+,Tinta Roriz,0.935656836461126,0.9961738179830555,0.9614325068870524,0.9934587080948487,0.0038261820169445205,0.064343163538874,0.03856749311294766,0.9905753968253969
Dataset 3+,Tinto Cao,0.9310344827586207,0.9992505620784412,0.9,0.9995002498750625,0.0007494379215588309,0.06896551724137931,0.1,0.9987599206349206
Dataset 3+,Touriga Francesa,0.8787878787878788,0.9974993748437109,0.7435897435897436,0.9989982469321312,0.002500625156289072,0.12121212121212122,0.2564102564102564,0.9965277777777778
Dataset 3+,Touriga Nacional,0.9511278195488722,0.9985714285714286,0.9902152641878669,0.99261573416643,0.0014285714285714286,0.04887218045112782,0.009784735812133072,0.9923115079365079
Dataset 3+,Viosinho,0.8181818181818182,0.9974993748437109,0.7297297297297297,0.9984981226533166,0.002500625156289072,0.18181818181818182,0.2702702702702703,0.996031746031746
IN1K,Alicante,1.0,0.9997509960159362,0.9411764705882353,1.0,0.000249003984063745,0.0,0.058823529411764705,0.9997519841269841
IN1K,Alveralhao,0.9779411764705882,0.9948665297741273,0.869281045751634,0.9992266047950503,0.00513347022587269,0.022058823529411766,0.13071895424836602,0.9942956349206349
